ST1-001,Princess Cookie,公主餅乾
ST1-002,Ninja Cookie,忍者餅乾
ST1-003,Dino-Sour Cookie,恐龍餅乾
ST1-004,Carrot Cookie,紅蘿蔔餅乾
ST1-005,Leek Cookie,大蔥餅乾
ST1-006,GingerBright,活潑餅乾
ST1-007,Mint Choco Cookie,薄荷巧克力餅乾
ST1-008,Cherry Blossom Cookie,櫻花餅乾
ST1-009,Espresso Cookie,濃縮咖啡餅乾
ST1-010,Alchemist Cookie,煉金術師餅乾
ST1-011,GingerBrave,勇敢餅乾
ST1-012,Zombie Cookie,殭屍餅乾
ST1-013,Adventurer Cookie,探險家餅乾
ST1-014,Peperoncino Cookie,乾辣椒餅乾
ST1-015,Pistachio Cookie,開心果餅乾
ST1-016,Icky Sticky Jelly,黏膩果凍
ST1-017,Exceptional Cake Knife,秘藏蛋糕刀
ST1-018,Sugar Coated Snail Shell,蝸牛棒棒糖
ST1-019,Fiery Jelly Clump,炎熱果凍塊
ST1-020,Overhydrated Dough Swamp,泥濘的麵團沼澤
ST1-021,Ouch-Inducing Star Jelly,尖尖的星星糖
ST1-022,Burning Jelly Volcano,炙熱果凍火山
