ST8-001,Greenbell Cookie
ST8-002,Muscle Cookie
ST8-003,Leek Cookie
ST8-004,Red Panna Cotta Cookie
ST8-005,Wind Archer Cookie
ST8-006,Basil Pesto Cookie
ST8-007,Blue Slushy Cookie
ST8-008,Sugar Swan Cookie
ST8-009,Cucumber Cookie
ST8-010,Cookiemals
ST8-011,Kiwi Cookie
ST8-012,Windcatcher
ST8-013,Windgrass
ST8-014,Cape of the Vanquisher
ST8-015,Essence of the Tempest
ST8-016,Wind's Grace Earrings
ST8-017,Hindering Darkness
ST8-018,Piercing Arrow of Purity
ST8-019,Bad Omen
ST8-020,Dark Enchantress Laboratory
