P-001,Red,Cookie,_,P,A,1,3,PY,_,2,1,2,2,,
P-002,Yellow,Cookie,_,P,A,1,3,PY,_,2,1,2,2,,
P-003,Green,Cookie,_,P,A,1,3,PY,_,2,1,2,2,,
P-004,Red,Cookie,_,P,A,2,3,_,_,1,1,,,,
P-005,Yellow,Cookie,_,P,A,3,4,O,_,1,1,,,,
P-006,Green,Cookie,_,P,A,1,2,_,_,1,1,,,,
P-007,Red,Cookie,_,P,A,2,1,O,_,1,1,1,2,1,1
P-008,Red,Item,_,P,A,_,_,_,_,,,,,,
P-009,Yellow,Cookie,_,P,A,3,6,T,_,3,2,3,3,,
P-010,Yellow,Cookie,_,P,A,2,4,O,_,2,1,,,,
P-011,Green,Cookie,_,P,A,2,2,P,_,2,2,,,,
P-012,Green,Item,_,P,A,_,_,_,_,,,,,,
P-013,Blue,Cookie,_,P,A,1,3,PY,_,2,1,2,2,,
P-014,Purple,Cookie,_,P,A,1,3,PY,_,2,1,2,2,,
P-015,Red,Cookie,_,P,A,2,5,T,_,4,3,5,4,,
P-016,Yellow,Cookie,_,P,A,2,2,O,_,2,2,,,,
P-017,Green,Cookie,_,P,A,1,3,PY,_,2,1,,,,
P-018,Blue,Cookie,_,P,A,3,4,OY,_,2,2,2,4,2,2
P-019,Purple,Cookie,_,P,A,2,3,T,_,1,1,,,,
P-020,Green,Cookie,H,P,A,3,3,_,_,3,3,,,,
P-021,Purple,Cookie,H,P,A,3,3,_,_,3,3,,,,
P-022,Green,Cookie,D,P,A,3,3,_,_,3,3,,,,
P-023,Yellow,Cookie,_,P,A,1,1,_,_,1,1,,,,
P-024,Red,Cookie,H,P,A,2,2,_,_,2,2,,,,
P-025,Yellow,Cookie,D,P,A,3,3,P,_,3,3,3,6,,
P-026,Yellow,Cookie,D,P,A,3,3,P,_,3,3,3,6,,
P-027,Yellow,Cookie,D,P,A,3,3,P,_,3,3,3,6,,
P-028,Yellow,Stage,_,P,A,_,_,_,_,,,,,,
P-029,Green,Trap,_,P,A,_,_,_,_,,,,,,
P-030,Blue,Cookie,_,P,A,3,5,OYT,_,2,3,2,6,2,4
P-031,Purple,Trap,_,P,A,_,_,_,_,,,,,,
P-032,Pure,Stage,_,P,A,_,_,_,_,,,,,,
