BS9-001,,,[R][R],尖銳的冰錐,2,,選擇最多1個自己的餅乾。在這個回合中，它受到的效果傷害-2點。
BS9-002,公主派對,【啟動】 【1回合1次】 在對手的上一回合中，如果自己的[R]且為LV.1餅乾曾暈倒過，則在這個回合中，這個餅乾的攻擊傷害+1點。,[R][R][R],美妙香水,3,,
BS9-003,,【登場時】 選擇最多1個自己的餅乾。在這個回合中，它的攻擊傷害+1點。,[R][R],棒棒糖槌擊,1,,
BS9-004,,,[R][R][W][W],完美推論,3,,
BS9-005,,,[R][R][R],咚咚隆咚鏘!,3,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS9-006,黏稠的巧克力奶油,【登場時】 在這個回合中，如果有2個或更多自己的餅乾曾暈倒過，則在這個回合結束前，這個餅乾受到的傷害-3點。,[R][R],黏糊糊的巧克力重拳,2,,
BS9-007,,,[R][R],粉色的櫻花瓣,2,,從牌庫抽最多1張牌。
BS9-008,,,[W],璀璨步伐,1,,
BS9-009,愉快的茶會,【登場時】 在這個回合中，如果對手的餅乾曾暈倒過，則從牌庫抽最多1張牌。,[R][W],茶會邀請,1,,
BS9-010,是時候來點謊言了!,【額外】 在對手的上一回合中，如果有2個或更多自己[R]且為LV.1的餅乾曾暈倒過，則可以將這張牌放置到戰鬥區。\n【登場時】 從對手的手牌隨機抽1張牌，正面朝上放置到這個餅乾的HP卡最下方。,[R][R],充滿恐懼的紙偶劇場,2,然後，<你可以支付[W]> 選擇最多1個對手的餅乾。從它的HP卡最上方抽1張牌，正面朝上放置到這個餅乾的HP卡最下方。,
BS9-011,來自地獄的惡魔,【登場時】 在這個回合中，如果有2個或更多自己的[R]且為LV.1餅乾曾暈倒過，則選擇最多1個對手的餅乾。對它造成1點傷害。,[R][R],魔鬼的糖果叉,2,,
BS9-012,,在對手的回合結束時，如果自己的戰鬥區有2個餅乾，則這個餅乾受到3點傷害。,[R][R],,2,,
BS9-013,,,[W][W][W],任性的魔法,4,,
BS9-014,甜蜜可口的謊言,【登場時】 <將自己另一個餅乾最上方的2張HP卡放置到棄牌區> 選擇最多1個對手的餅乾。從它的HP卡最上方抽1張牌，正面朝上放置到這個餅乾的HP卡最下方。,[R][R],迷你蘋果糖炸彈,2,,
BS9-015,真誠的歌曲,當這個餅乾暈倒時，從自己的手牌將最多1個餅乾放置到戰鬥區。然後，將它最上方1張HP卡移回手牌。,[R][R],豐富多彩的旋律,2,,
BS9-016,大量披薩訂單,【登場時】 如果自己的戰鬥區中有另一個[披薩餅乾]，則在這個回合中，這個餅乾的攻擊傷害+1點。,[R][W],運送完畢!,1,,
BS9-017,熱情的守護,【啟動】 【1回合1次】 <[W]> 如果自己的戰鬥區有另一個[Ancient]餅乾，則在這個回合中，這個餅乾的攻擊傷害+2點。,[R][W][W],王國護盾,2,然後，在對手的回合結束前，自己的[Ancient]餅乾受到3點或以上的傷害將改為2點。,
BS9-018,無敵的英雄,【在自己的回合中】 如果這個餅乾在自己的戰鬥區，則自己的餅乾不會受到來自對手的傷害。,[R][R],英雄的一拳,2,,
BS9-019,,<[R][R]> 選擇最多1個自己的餅乾。在這個回合中，它的攻擊傷害+1點。然後，它獲得HP+1點。,,,,,
BS9-020,,<[R]> 在對手的上一回合中，如果自己的[R]且為LV.1餅乾曾暈倒過，則從牌庫抽最多2張牌，並棄1張牌。,,,,,
BS9-021,,<[R][R][R]> 選擇最多1個對手的餅乾。從它的HP卡最上方抽1張牌，正面朝上放置到這個餅乾的HP卡最下方。,,,,,
BS9-022,,<[R]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-1點。然後，如果自己的餅乾的HP卡中有對手的牌，則從牌庫抽最多1張牌。,,,,,
BS9-023,,<[R]> 將這張牌放置到場景區。\n【啟動】 <[R]> <將這張牌改為疲勞狀態> 如果自己的餅乾的HP卡中有對手的牌，選擇最多2個自己的餅乾。在這個回合中，它們的攻擊傷害+1點。,,,,,
,,,,,,,
BS9-024,黃金護盾,【啟動】 【1回合1次】 如果這個餅乾剩餘HP為4點或以下，且自己的戰鬥區有另一個[Ancient]餅乾，則這個餅乾獲得HP+1點。,[Y][W][W],豐饒之神,3,然後，<將這個餅乾最上方的1張HP卡移回手牌> 造成1點傷害。,
BS9-025,,,[Y][Y],強悍城堡,1,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。如果在自己的回合中發動，則你可以選擇自己的其他餅乾。
BS9-026,,,[Y][Y],氣味追蹤,2,,從牌庫抽最多1張牌。
BS9-027,懶惰的國王,【啟動】 【1回合1次】 將最多1張自己的手牌放置到這個餅乾的HP卡最上方。然後，這個餅乾受到1點傷害。,[Y][Y][W],麵團吸血,2,,
BS9-028,,,[Y][Y],卡! 再一次!,2,,
BS9-029,,,[Y][Y],廣場嚮導,2,,從自己的1個餅乾的HP卡最上方抽最多1張牌，放置到自己的另一個餅乾的HP卡最上方。
BS9-030,前往真理的冒險,【額外】 <從自己的手牌棄3張具有FLIP的餅乾卡> 將這張牌放置到戰鬥區。\n【登場時】 從自己的休息區將最多1個LV.1的餅乾放置到棄牌區。,[Y][Y][Y],真理之光,3,然後，<從自己的手牌棄1張具有FLIP的餅乾卡> 發動所棄之牌的FLIP效果。,
BS9-031,,,[Y],神秘皇后的計畫,1,,<棄1張手牌> 自己的1個LV.3餅乾獲得HP+1點。如果在自己的回合中發動，則從牌庫抽最多1張牌。
BS9-032,,,[Y][Y],頓悟的智慧教主,1,,從牌庫抽最多1張牌。如果在自己的回合中發動，將最多1個自己的餅乾改為活躍狀態。
BS9-033,勇敢的心,【啟動】 【1回合1次】 <[Y]> <從自己的手牌棄1張具有FLIP的餅乾卡> 如果自己的手牌為6張或更少，則從牌庫抽最多2張牌。,[Y][Y],堅硬的拐杖糖,1,,
BS9-034,翻牌,【登場時】 <[Y]> 選擇最多1個對手的餅乾。查看它所有的HP卡，並隨意改變其順序。,[Y],占卜,1,,
BS9-035,真理尋覓者,【啟動】 【1回合1次】 <棄1張手牌> 在這個回合中，對手無法透過卡牌效果為餅乾增加HP。,[Y][Y][Y],絕望的黑影,3,然後，<從自己的手牌棄1張具有FLIP的餅乾卡> 如果自己的休息區有2個以上的餅乾，則選擇最多1個對手的餅乾。對它造成1點傷害。,
BS9-036,書籍整理,在自己的回合結束時，從自己的手牌棄1張具有FLIP的餅乾卡，或是將這個餅乾最上方的1張HP卡放置到棄牌區。,[Y][Y][Y],知識之眼,4,,
BS9-037,讓我來帶領你吧!,當這個餅乾暈倒時，從自己的棄牌區將最多2個[Y]且具有FLIP的餅乾移回手牌。,[Y][Y],清新的微笑,2,,
BS9-038,我們是雙胞胎!,【登場時】 如果自己的戰鬥區有另一個[西洋棋巧克力餅乾]，則自己的所有餅乾獲得HP+1點。,[Y][Y][Y],將殺,3,,
BS9-039,,,[W][W][W],果凍左輪手槍,3,,
BS9-040,取得了研究素材!,【啟動】 【1回合1次】 從自己的牌庫頂抽1張牌並展示它。如果抽出的牌為具有FLIP的餅乾，則從牌庫抽最多1張牌。,[Y][Y],觀察,1,,
BS9-041,,,[Y][Y][Y],螺旋鏢槍,2,,從牌庫抽最多1張牌。如果在自己的回合中發動，則選擇最多1個對手的餅乾。對它造成1點傷害。
BS9-042,,,[Y][Y][Y],執行任務,3,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS9-043,,<[Y]> 如果自己的休息區LV總和達到4或以上，則選擇最多1個對手已裝備的[靈魂果醬]。將它放置於裝備對象的HP卡最上方。,,,,,
BS9-044,,<[Y]> <棄1張手牌> 從自己的棄牌區將最多3個[Y]且具有FLIP的餅乾移回手牌。,,,,,
BS9-045,,<[Y]> <從自己的手牌棄2張具有FLIP的餅乾卡> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-2點。然後，從牌庫抽最多2張牌。,,,,,
BS9-046,,<[Y][Y]> 選擇最多1個對手的餅乾。在這個回合中，它的攻擊傷害-2點。然後，從自己的棄牌區將最多1個具有FLIP的餅乾移回手牌。,,,,,
BS9-047,,<[Y]> 將這張牌放置到場景區。\n【啟動】 <將這張牌改為疲勞狀態> <棄1張手牌> 從自己的棄牌區將最多1個具有FLIP的餅乾移回手牌。,,,,,
,,,,,,,
BS9-048,,,[G][G][G],險惡的計劃,3,,<棄1張手牌> 以這張牌為HP卡的餅乾獲得HP+1點。
BS9-049,歡愉的表演,當這個餅乾暈倒時，選擇最多1個對手的LV.1餅乾。將它以疲勞狀態放置到對手的支援區。,[G][G],森林奔跑,2,,
