ST1-001,Princess Cookie
ST1-002,Ninja Cookie
ST1-003,Dino-Sour Cookie
ST1-004,Carrot Cookie
ST1-005,Leek Cookie
ST1-006,GingerBright
ST1-007,Mint Choco Cookie
ST1-008,Cherry Blossom Cookie
ST1-009,Espresso Cookie
ST1-010,Alchemist Cookie
ST1-011,GingerBrave
ST1-012,Zombie Cookie
ST1-013,Adventurer Cookie
ST1-014,Peperoncino Cookie
ST1-015,Pistachio Cookie
ST1-016,Icky Sticky Jelly
ST1-017,Exceptional Cake Knife
ST1-018,Sugar Coated Snail Shell
ST1-019,Fiery Jelly Clump
ST1-020,Overhydrated Dough Swamp
ST1-021,Ouch-Inducing Star Jelly
ST1-022,Burning Jelly Volcano
